#Note: the line starts with '#' will be ignored!!!,,,,,,
#Enums Start....,hkjc.cap.ida.football.entity.enumcode.,,,,,
enumcode.general.config,GlobalConfigName,TOURNAMENT_POOL_CURRENT_DAY_ODDS_TRANSMISSION_FREQUENCY,TournamentPoolCurrentDayOddsTransmissionFrequency,Tournament Pool Current Day Odds Transmission Frequency,0,
enumcode.general.config,GlobalConfigName,TOURNAMENT_POOL_OTHER_DAY_ODDS_TRANSMISSION_FREQUENCY,TournamentPoolOtherDayOddsTransmissionFrequency,Tournament Pool Other Day Odds Transmission Frequency,0,
enumcode.general.config,GlobalConfigName,TOURNAMENT_TOFP_ODDS_TRANSMISSION_FREQUENCY,TournamentTofpOddsTransmissionFrequency,Tournament Tofp Odds Transmission Frequency,0,
enumcode.general.config,GlobalConfigName,ALLUP_FIXED_ODDS_UNIT_INVESTMENT,AllupFixedOddsUnitInvestment,Fixed Odds Unit Investment(Allup),0,
enumcode.general.config,GlobalConfigName,ALLUP_PARI_MUTUEL_UNIT_INVESTMENT,AllupParimutuelUnitInvestment,Pari-mutueUnit Investment(Allup),0,
enumcode.general.config,GlobalConfigName,ODDS_HIGHLIGHT_INTERVAL,OddsHighlightInterval,New Odds Highlight Interval,0,
enumcode.general.config,GlobalConfigName,LIVE_DISPLAY_MINUTES,LiveDisplayMinutes,Live Display Minutes,0,
enumcode.general.config,GlobalConfigName,ALLOW_LEAGUE_MAPPING_MANY_TO_ONE,AllowLeagueMappingManyToOne,Allow League Mapping Many to One,0,
enumcode.general.config,GlobalConfigName,TEAM_MATCH_RETENTION,TeamMatchRetention,init sql script default value 24,0,
enumcode.general.config,GlobalConfigName,DEFAULT_EPG_OFFSET,DefaultEpgOffset,Default EPG Offset,0,
enumcode.general.config,GlobalConfigName,DEFAULT_MATCH_RETENTION_DAY,DefaultMatchRetentionDay,1,0,
enumcode.general.config,GlobalConfigName,DEFAULT_TOURNAMENT_RETENTION_DAY,DefaultTournamentRetentionDay,7,0,
enumcode.general.config,GlobalConfigName,MAX_MATCH_RETENTION_DAY,MAXMatchRetentionDay,7,0,
enumcode.general.config,GlobalConfigName,MAX_TOURNAMENT_RETENTION_DAY,MAXTournamentRetentionDay,7,0,
enumcode.general.config,GlobalConfigName,CONCL_MATCH_RETENTION_PRD,ConcludedMatchRetentionPeriod,2,0,
enumcode.general.config,GlobalConfigName,LAST_MAX_LEAGUE_SEQUENCE_NUMBER,LastMaxLeagueSeqNo,Last Max League.seqNo,0,
enumcode.general.config,GlobalConfigName,ALLOW_SEARCHED_MAX_MATCH_DAY_RANGE,AllowSearchedMaxMatchDayRange,90,0,
enumcode.general.config,GlobalConfigName,MAX_MATCH_REMARK_TEMPLATE_SEQ_NO,MAXMatchRemarkTemplateSeqNo,1,0,
enumcode.general.config,GlobalConfigName,OB_SERVICES_HK_LAST_UPDATE_DATE_TIME,OBServicesHKLastUpdateDateTime,1,0,
enumcode.incident,LiveEventActionPeriod,BEFORE_KICKOFF,BeforeKickOff,,0,
